NGI_Sample_ID	Name	Num	Group
P29953_102_S446	CrF_FF09	102	Female_Adult_KirindyMiteaNPMadagascar_tissue
P29953_103_S447	CrF_FM03	103	Male_Adult_KirindyMiteaNPMadagascar_tissue
P29953_104_S448	CrF_FM04	104	Male_Adult_KirindyMiteaNPMadagascar_tissue
P29953_105_S449	CrF_FM05	105	Male_Adult_KirindyMiteaNPMadagascar_tissue
P29953_106_S450	CrF_FM06	106	Male_Subadult_KirindyMiteaNPMadagascar_tissue
P29953_107_S451	CrF_FM08	107	Male_Adult_KirindyMiteaNPMadagascar_tissue
P29953_108_S452	CrF_FM10	108	Male_Adult_KirindyMiteaNPMadagascar_tissue
P29953_109_S453	CrF_FM11	109	Male_Adult_KirindyMiteaNPMadagascar_tissue
P29953_110_S454	CrF_FM12	110	Male_Adult_KirindyMiteaNPMadagascar_tissue
P29953_111_S455	CrF_FM15	111	Male_Adult_KirindyMiteaNPMadagascar_tissue
P29953_112_S456	CrF_FM16	112	Male_Adult_KirindyMiteaNPMadagascar_tissue
P29953_113_S457	CrF_FF07	113	Female_Adult_KirindyMiteaNPMadagascar_tissue
P29953_114_S458	CrF_FM02	114	Male_Subadult_KirindyMiteaNPMadagascar_tissue
P29953_115_S459	CrF_FM13	115	Male_Subadult_KirindyMiteaNPMadagascar_tissue
P29953_116_S460	CrF_Bet22.36	116	Male_Adult_BetompanaNPMadagascar_blood
P29953_117_S461	CrF_Bet22.27	117	Male_Adult_BetompanaNPMadagascar_blood
P29953_118_S462	CrF_FM14	118	Male_Subadult_KirindyMiteaNPMadagascar_tissue
